pid,name,team,IP,G,GS,K,BB,HR,ER,ERA,WHIP
695239,Robby Ahlstrom,Texas Rangers,5.67,4,0,3,0,0,0,0.0,0.53
671106,Logan Allen,Cleveland Guardians,4.0,1,0,7,1,0,0,0.0,1.5
681084,Tanner Andrews,Toronto Blue Jays,3.0,2,0,1,2,0,0,0.0,1.0
686930,Mason Barnett,Athletics,9.67,4,0,13,4,0,0,0.0,0.72
621389,Ty Blach,Chicago Cubs,3.0,1,0,2,0,0,0,0.0,0.33
592155,Cam Booser,Tampa Bay Rays,4.0,3,0,5,1,0,0,0.0,0.75
682997,Tyler Callihan,Pittsburgh Pirates,1.0,1,0,0,1,0,0,0.0,2.0
666126,Carlos Cortes,Athletics,2.0,2,0,0,2,0,0,0.0,1.5
676105,Jeff Criswell,Colorado Rockies,2.0,2,0,2,2,0,0,0.0,1.5
672442,Yovanny Cruz,New York Yankees,2.33,2,0,3,0,0,0,0.0,0.43
689546,Nick Davila,Seattle Mariners,9.67,9,0,6,6,0,0,0.0,1.03
701474,Duncan Davitt,Chicago White Sox,1.0,1,0,0,1,0,0,0.0,1.0
650960,Daniel Duarte,New York Mets,2.33,1,0,1,0,0,0,0.0,0.43
664744,Jose Espada,Baltimore Orioles,1.0,1,0,0,0,0,0,0.0,2.0
681751,Lazaro Estrada,Toronto Blue Jays,4.0,1,0,3,2,0,0,0.0,0.5
687941,Alec Gamboa,Boston Red Sox,1.67,2,0,3,0,0,0,0.0,0.0
623352,Josh Hader,Houston Astros,5.0,5,0,7,1,0,0,0.0,0.2
664059,Sam Haggerty,Texas Rangers,1.0,1,0,0,0,0,0,0.0,0.0
700327,Welinton Herrera,Colorado Rockies,2.33,3,0,2,1,0,0,0.0,1.29
664731,P.J. Higgins,Cincinnati Reds,1.0,1,0,1,0,0,0,0.0,0.0
592454,Tommy Kahnle,Boston Red Sox,4.0,3,0,3,2,0,0,0.0,1.5
675916,James Karinchak,Atlanta Braves,1.0,1,0,1,0,0,0,0.0,1.0
687531,William Kempner,Miami Marlins,6.67,5,0,8,2,0,0,0.0,0.75
657649,Jared Koenig,Milwaukee Brewers,2.33,3,0,4,2,0,0,0.0,2.14
621139,Brooks Kriske,Athletics,2.67,2,0,2,1,0,0,0.0,1.13
622761,Jorge Mateo,Atlanta Braves,1.0,1,0,0,0,0,0,0.0,1.0
694646,Chayce McDermott,Los Angeles Dodgers,1.0,1,0,1,0,0,0,0.0,1.0
668834,Easton McGee,Milwaukee Brewers,2.0,2,0,1,1,0,0,0.0,1.0
624512,Reese McGuire,Chicago White Sox,1.0,1,0,0,0,0,0,0.0,0.0
682989,Victor Mederos,Atlanta Braves,2.0,1,0,0,1,0,0,0.0,0.5
