name,pid,year,mlb_yr,age,role,G,GS,IP,ERA,WHIP,K,BB,HR,K_per_9,BB_per_9,HR_per_9,ER
Dwight Gooden,114947,1984,1,19,SP,31,31,218.0,2.6,1.07,276,73,7,11.394,3.014,0.289,63
Dwight Gooden,114947,1985,2,20,SP,35,35,276.67,1.53,0.97,268,69,13,8.718,2.245,0.423,47
Dwight Gooden,114947,1986,3,21,SP,33,33,250.0,2.84,1.11,200,80,17,7.2,2.88,0.612,79
Dwight Gooden,114947,1987,4,22,SP,25,25,179.67,3.21,1.2,148,53,11,7.414,2.655,0.551,64
Dwight Gooden,114947,1988,5,23,SP,34,34,248.33,3.19,1.2,175,57,8,6.342,2.066,0.29,88
Dwight Gooden,114947,1989,6,24,SP,19,17,118.33,2.89,1.18,101,47,9,7.682,3.575,0.685,38
Dwight Gooden,114947,1990,7,25,SP,34,34,232.67,3.83,1.29,223,70,10,8.626,2.708,0.387,99
Dwight Gooden,114947,1991,8,26,SP,27,27,190.0,3.6,1.27,150,56,12,7.105,2.653,0.568,76
Dwight Gooden,114947,1992,9,27,SP,31,31,206.0,3.67,1.3,145,70,11,6.335,3.058,0.481,84
Dwight Gooden,114947,1993,10,28,SP,29,29,208.67,3.45,1.19,149,61,16,6.427,2.631,0.69,80
Dwight Gooden,114947,1994,11,29,SP,7,7,41.33,6.31,1.48,40,15,9,8.71,3.266,1.96,29
Dwight Gooden,114947,1996,13,31,SP,29,29,170.67,5.01,1.51,126,88,19,6.645,4.641,1.002,95
Dwight Gooden,114947,1997,14,32,SP,20,19,106.33,4.91,1.59,66,53,14,5.586,4.486,1.185,58
Dwight Gooden,114947,1998,15,33,SP,23,23,134.0,3.76,1.39,83,51,13,5.575,3.425,0.873,56
Dwight Gooden,114947,1999,16,34,SP,26,22,115.0,6.26,1.69,88,67,18,6.887,5.243,1.409,80
Dwight Gooden,114947,2000,17,35,SP,8,8,36.67,6.63,1.83,23,20,14,5.645,4.909,3.436,27
Dwight Gooden,114947,2000,17,35,RP,18,5,64.33,3.36,1.35,31,21,8,4.337,2.938,1.119,24
Dwight Gooden,114947,2000,17,35,SP,27,14,105.0,4.71,1.55,55,44,23,4.714,3.771,1.971,55
Orel Hershiser,115861,1984,2,25,RP,45,20,189.67,2.66,1.11,150,50,9,7.118,2.373,0.427,56
Orel Hershiser,115861,1985,3,26,SP,36,34,239.67,2.03,1.03,157,68,8,5.896,2.554,0.3,54
Orel Hershiser,115861,1986,4,27,SP,35,35,231.33,3.85,1.29,153,86,13,5.952,3.346,0.506,99
Orel Hershiser,115861,1987,5,28,SP,37,35,264.67,3.06,1.21,190,74,17,6.461,2.516,0.578,90
Orel Hershiser,115861,1988,6,29,SP,35,34,267.0,2.26,1.05,178,73,18,6.0,2.461,0.607,67
Orel Hershiser,115861,1989,7,30,SP,35,33,256.67,2.31,1.18,178,77,9,6.242,2.7,0.316,66
Orel Hershiser,115861,1990,8,31,SP,4,4,25.33,4.26,1.18,16,4,1,5.684,1.421,0.355,12
Orel Hershiser,115861,1991,9,32,SP,21,21,112.0,3.46,1.29,73,32,3,5.866,2.571,0.241,43
Orel Hershiser,115861,1992,10,33,SP,33,33,210.67,3.67,1.32,130,69,15,5.554,2.948,0.641,86
Orel Hershiser,115861,1993,11,34,SP,33,33,215.67,3.59,1.27,141,72,17,5.884,3.005,0.709,86
Orel Hershiser,115861,1994,12,35,SP,21,21,135.33,3.79,1.39,72,42,15,4.788,2.793,0.998,57
Orel Hershiser,115861,1995,13,36,SP,26,26,167.33,3.87,1.21,111,51,21,5.97,2.743,1.129,72
Orel Hershiser,115861,1996,14,37,SP,33,33,206.0,4.24,1.44,125,58,21,5.461,2.534,0.917,97
Orel Hershiser,115861,1997,15,38,SP,32,32,195.33,4.47,1.37,107,69,26,4.93,3.179,1.198,97
Orel Hershiser,115861,1998,16,39,SP,34,34,202.0,4.41,1.41,126,85,22,5.614,3.787,0.98,99
Orel Hershiser,115861,1999,17,40,SP,32,32,179.0,4.58,1.41,89,77,14,4.475,3.872,0.704,91
Orel Hershiser,115861,2000,18,41,SP,10,6,24.67,13.14,2.27,13,14,5,4.743,5.108,1.824,36
Rick Reuschel,121089,1972,1,23,SP,21,18,129.0,2.93,1.21,87,29,3,6.07,2.023,0.209,42
Rick Reuschel,121089,1973,2,24,SP,36,36,237.0,3.0,1.29,168,62,15,6.38,2.354,0.57,79
Rick Reuschel,121089,1974,3,25,SP,41,38,240.67,4.3,1.43,160,83,18,5.983,3.104,0.673,115
Rick Reuschel,121089,1975,4,26,SP,38,37,234.0,3.73,1.33,155,67,17,5.962,2.577,0.654,97
Rick Reuschel,121089,1976,5,27,SP,38,37,260.0,3.46,1.25,146,64,17,5.054,2.215,0.588,100
Rick Reuschel,121089,1977,6,28,SP,39,37,252.0,2.79,1.22,166,74,13,5.929,2.643,0.464,78
Rick Reuschel,121089,1978,7,29,SP,35,35,242.67,3.41,1.19,115,54,16,4.265,2.003,0.593,92
Rick Reuschel,121089,1979,8,30,SP,36,36,239.0,3.62,1.36,125,75,16,4.707,2.824,0.603,96
Rick Reuschel,121089,1980,9,31,SP,38,38,257.0,3.4,1.39,140,76,13,4.903,2.661,0.455,97
Rick Reuschel,121089,1981,10,32,SP,13,13,85.67,3.47,1.28,53,23,4,5.568,2.416,0.42,33
