"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha",0.428978668299381,0.00534789791987953,0.3841348444549,-0.324046623223241,0.174405781675148,0.426854162698379,0.683512829870904,1.18556760321064,5159.4236356052,0.999962136319634
"beta_popularity",0.0306898851959449,0.00212133473653464,0.177879726877271,-0.315625683842668,-0.0897311617284856,0.0316369107811588,0.148727731699705,0.385448776518633,7031.28174949577,0.999706839030911
"sigma_week",0.293099927453063,0.00320362739708704,0.236383291368055,0.0109667744947879,0.110956866390491,0.236379821613312,0.418382901249955,0.881037789741822,5444.39407555265,1.00012334268446
"probability_at_25",0.578750615393466,0.00207941706484284,0.151963403260365,0.2687673867197,0.473699767140507,0.584675137590355,0.692588695804732,0.845817922995442,5340.65857698227,0.999920407967129
"probability_at_50",0.602168558188905,0.0012281982646553,0.088736588678376,0.41968987287025,0.543491260346753,0.605122221836288,0.664522273078009,0.765947396131128,5219.97591518615,0.999991655777912
"probability_at_75",0.618148752601924,0.00114395686148837,0.10380972870307,0.400661950860775,0.550904361164866,0.623060226693151,0.691896789698782,0.806695854318001,8234.87131660699,0.999735677099518
"probability_slope_25_to_75",0.0393981372084587,0.00234133300648664,0.197238088914914,-0.330492195205108,-0.101674871400009,0.0366585037337149,0.174565081079622,0.432580152115931,7096.6795754812,0.999723494846056
"expected_score[1]",220.656151295052,0.229237097905757,24.7865978187493,170.704336091245,204.20732858224,221.207783722598,237.800263597149,267.747952644316,11691.3331648212,0.999811167196128
"expected_score[2]",218.951571198494,0.26695118045668,25.385187653715,167.340879156355,202.047707533056,219.667866483101,236.606377434887,266.839791385498,9042.67797257487,0.99992703207835
"expected_score[3]",218.219171404268,0.299326148127588,26.8414211653482,164.235956068622,200.102234334133,218.831370221585,237.255813977961,268.59260026166,8041.21546341963,0.999956646471538
"replicated_score[1]",220.57925,0.385151257563068,37.8735068319857,145,196,221,248,292,9669.59754904459,1.00007232937715
"replicated_score[2]",218.78775,0.403436606860884,38.2644805432715,142,193,220,245,291,8995.82584186194,0.999993853609561
"replicated_score[3]",218.05725,0.425429599751164,39.3950881336574,140,192,219,246,293,8574.89373082321,0.999973899809387
