team,abbr,n_hitters,mean_ops_paw,std_ops_paw,median_ops,top_ops,top_name,top_minus_median,top_minus_second
Athletics,ATH,14,0.7501,0.1429,0.7265,0.967,Nick Kurtz,0.2405,0.077
Pittsburgh Pirates,PIT,14,0.7408,0.1099,0.716,0.855,Spencer Horwitz,0.139,0.001
San Diego Padres,SD,12,0.6563,0.0938,0.6595,0.958,Luis Campusano,0.2985,0.173
Seattle Mariners,SEA,14,0.7222,0.1205,0.7465,0.874,Dominic Canzone,0.1275,0.036
San Francisco Giants,SF,13,0.7435,0.0996,0.754,0.906,Bryce Eldridge,0.152,0.073
St. Louis Cardinals,STL,12,0.7153,0.123,0.658,0.919,Jordan Walker,0.261,0.077
Tampa Bay Rays,TB,13,0.7342,0.12,0.682,0.94,Yandy Díaz,0.258,0.068
Texas Rangers,TEX,14,0.7064,0.089,0.6705,0.836,Josh Jung,0.1655,0.033
Toronto Blue Jays,TOR,14,0.7033,0.1009,0.735,0.804,Jesús Sánchez,0.069,0.014
Minnesota Twins,MIN,14,0.7047,0.1098,0.6835,0.949,Ryan Jeffers,0.2655,0.072
Philadelphia Phillies,PHI,11,0.706,0.1493,0.623,0.933,Kyle Schwarber,0.31,0.04
Atlanta Braves,ATL,12,0.7711,0.1233,0.78,0.932,Drake Baldwin,0.152,0.03
Chicago White Sox,CWS,14,0.7523,0.133,0.747,1.028,Randal Grichuk,0.281,0.09
Miami Marlins,MIA,15,0.7031,0.111,0.664,0.857,Otto Lopez,0.193,0.021
New York Yankees,NYY,13,0.7718,0.1408,0.724,1.006,Ben Rice,0.282,0.098
Milwaukee Brewers,MIL,14,0.7345,0.1407,0.7495,0.98,Andrew Vaughn,0.2305,0.089
Los Angeles Angels,LAA,15,0.7049,0.0926,0.669,0.9,Wade Meckler,0.231,0.057
Arizona Diamondbacks,AZ,15,0.7026,0.1113,0.681,0.92,Corbin Carroll,0.239,0.152
Baltimore Orioles,BAL,13,0.7268,0.0678,0.71,0.848,Adley Rutschman,0.138,0.064
Boston Red Sox,BOS,14,0.6873,0.0975,0.6645,0.897,Willson Contreras,0.2325,0.127
Chicago Cubs,CHC,12,0.7286,0.0656,0.7195,0.836,Ian Happ,0.1165,0.035
Cincinnati Reds,CIN,13,0.7276,0.129,0.746,0.931,JJ Bleday,0.185,0.076
Cleveland Guardians,CLE,14,0.6948,0.0835,0.718,0.766,Travis Bazzana,0.048,0.002
Colorado Rockies,COL,14,0.7207,0.1077,0.6865,0.942,Mickey Moniak,0.2555,0.105
Detroit Tigers,DET,14,0.7174,0.118,0.662,0.858,Dillon Dingler,0.196,0.005
Houston Astros,HOU,17,0.7349,0.1418,0.675,1.066,Yordan Alvarez,0.391,0.253
Kansas City Royals,KC,13,0.6892,0.0688,0.666,0.808,Jac Caglianone,0.142,0.009
Los Angeles Dodgers,LAD,14,0.784,0.1096,0.717,0.964,Shohei Ohtani,0.247,0.066
Washington Nationals,WSH,14,0.7445,0.1369,0.7145,0.941,James Wood,0.2265,0.029
New York Mets,NYM,15,0.671,0.0999,0.656,0.906,Juan Soto,0.25,0.016
