team,abbr,name,pid,position,PA,OPS,AVG,OBP,SLG,HR
Athletics,ATH,Nick Kurtz,701762,1B,306,0.967,0.283,0.438,0.529,15
Athletics,ATH,Carlos Cortes,666126,RF,182,0.89,0.31,0.396,0.494,6
Athletics,ATH,Shea Langeliers,669127,C,284,0.88,0.283,0.345,0.535,17
Athletics,ATH,Tyler Soderstrom,691016,LF,275,0.799,0.238,0.335,0.464,11
Athletics,ATH,Zack Gelof,680869,3B,187,0.776,0.266,0.314,0.462,8
Athletics,ATH,Henry Bolte,703607,CF,92,0.753,0.296,0.37,0.383,1
Athletics,ATH,Colby Thomas,687515,RF,57,0.744,0.269,0.321,0.423,2
Athletics,ATH,Jacob Wilson,805779,SS,168,0.709,0.292,0.311,0.398,3
Athletics,ATH,Max Muncy,691777,3B,113,0.681,0.23,0.301,0.38,2
Athletics,ATH,Brent Rooker,667670,DH,203,0.67,0.2,0.281,0.389,10
Athletics,ATH,Jeff McNeil,643446,2B,228,0.609,0.232,0.304,0.305,2
Athletics,ATH,Darell Hernaiz,687231,SS,134,0.606,0.237,0.318,0.288,1
Athletics,ATH,Lawrence Butler,671732,RF,183,0.507,0.165,0.251,0.256,4
Athletics,ATH,Denzel Clarke,672016,CF,60,0.417,0.17,0.228,0.189,0
Pittsburgh Pirates,PIT,Spencer Horwitz,687462,1B,246,0.855,0.29,0.386,0.469,9
Pittsburgh Pirates,PIT,Brandon Lowe,664040,2B,276,0.854,0.248,0.333,0.521,16
Pittsburgh Pirates,PIT,Ryan O'Hearn,656811,RF,218,0.822,0.284,0.353,0.469,10
Pittsburgh Pirates,PIT,Oneil Cruz,665833,CF,283,0.822,0.264,0.35,0.472,14
Pittsburgh Pirates,PIT,Bryan Reynolds,668804,LF,299,0.811,0.264,0.388,0.423,7
Pittsburgh Pirates,PIT,Konnor Griffin,804606,SS,208,0.729,0.27,0.327,0.402,4
Pittsburgh Pirates,PIT,Nick Gonzales,693304,3B,255,0.727,0.302,0.353,0.374,2
Pittsburgh Pirates,PIT,Jake Mangum,663968,LF,144,0.705,0.295,0.348,0.357,1
Pittsburgh Pirates,PIT,Endy Rodríguez,682848,C,59,0.705,0.217,0.379,0.326,1
Pittsburgh Pirates,PIT,Joey Bart,663698,C,62,0.669,0.259,0.29,0.379,2
Pittsburgh Pirates,PIT,Marcell Ozuna,542303,DH,208,0.573,0.193,0.274,0.299,5
Pittsburgh Pirates,PIT,Jared Triolo,669707,SS,121,0.56,0.229,0.294,0.266,0
Pittsburgh Pirates,PIT,Nick Yorke,694377,3B,86,0.555,0.197,0.279,0.276,1
Pittsburgh Pirates,PIT,Henry Davis,680779,C,142,0.526,0.138,0.241,0.285,5
San Diego Padres,SD,Luis Campusano,669134,C,58,0.958,0.288,0.362,0.596,3
San Diego Padres,SD,Ty France,664034,1B,139,0.785,0.264,0.312,0.473,6
San Diego Padres,SD,Gavin Sheets,657757,1B,217,0.756,0.224,0.313,0.443,10
San Diego Padres,SD,Miguel Andujar,609280,DH,198,0.706,0.254,0.288,0.418,5
San Diego Padres,SD,Fernando Tatis Jr.,665487,RF,286,0.695,0.281,0.347,0.348,2
San Diego Padres,SD,Ramón Laureano,657656,LF,206,0.66,0.203,0.286,0.374,7
San Diego Padres,SD,Xander Bogaerts,593428,SS,251,0.659,0.231,0.303,0.356,8
San Diego Padres,SD,Jackson Merrill,701538,CF,267,0.614,0.207,0.275,0.339,6
San Diego Padres,SD,Manny Machado,592518,3B,270,0.598,0.172,0.253,0.345,11
San Diego Padres,SD,Nick Castellanos,592206,RF,122,0.56,0.191,0.221,0.339,4
San Diego Padres,SD,Freddy Fermin,666023,C,135,0.515,0.154,0.241,0.274,3
San Diego Padres,SD,Jake Cronenworth,630105,2B,114,0.468,0.144,0.272,0.196,1
Seattle Mariners,SEA,Dominic Canzone,686527,DH,170,0.874,0.276,0.341,0.533,9
Seattle Mariners,SEA,Brendan Donovan,680977,3B,101,0.838,0.274,0.386,0.452,3
Seattle Mariners,SEA,Colt Emerson,806068,3B,73,0.838,0.231,0.315,0.523,4
Seattle Mariners,SEA,Luke Raley,670042,RF,199,0.835,0.249,0.31,0.525,14
