year,team_id,team,PA,AB,HR,BB,SO,R,AVG,OBP,SLG,OPS
1985,111,Boston Red Sox,6420,5720,162,562,816,800,0.282,0.347,0.429,0.776
1985,141,Toronto Blue Jays,6107,5508,158,503,807,759,0.269,0.331,0.425,0.756
1985,147,New York Yankees,6236,5458,176,620,771,839,0.267,0.344,0.425,0.769
1985,114,Cleveland Indians,6121,5527,116,492,817,729,0.265,0.324,0.385,0.709
1985,138,St. Louis Cardinals,6182,5467,87,586,853,747,0.264,0.335,0.379,0.714
1985,133,Oakland Athletics,6215,5581,155,508,861,757,0.264,0.325,0.401,0.726
1985,142,Minnesota Twins,6128,5509,141,502,779,705,0.264,0.326,0.407,0.733
1985,158,Milwaukee Brewers,6158,5568,101,462,746,690,0.263,0.319,0.379,0.698
1985,110,Baltimore Orioles,6212,5517,214,604,908,818,0.263,0.336,0.43,0.766
1985,117,Houston Astros,6192,5582,121,477,873,706,0.261,0.319,0.388,0.707
1985,119,Los Angeles Dodgers,6224,5502,129,539,846,682,0.261,0.328,0.382,0.71
1985,121,New York Mets,6248,5549,134,546,872,695,0.257,0.323,0.385,0.708
1985,136,Seattle Mariners,6185,5521,171,564,942,719,0.255,0.326,0.412,0.738
1985,135,San Diego Padres,6150,5507,109,513,809,650,0.255,0.32,0.368,0.688
1985,113,Cincinnati Reds,6145,5431,114,576,856,677,0.255,0.327,0.376,0.703
1985,112,Chicago Cubs,6177,5492,150,562,937,686,0.254,0.324,0.39,0.714
1985,116,Detroit Tigers,6223,5575,202,526,926,729,0.253,0.318,0.424,0.742
1985,140,Texas Rangers,6005,5362,129,530,819,617,0.253,0.322,0.381,0.703
1985,145,Chicago White Sox,6089,5470,146,471,843,736,0.253,0.315,0.392,0.707
1985,118,Kansas City Royals,6095,5500,154,473,840,687,0.252,0.313,0.401,0.714
1985,108,California Angels,6263,5442,153,648,902,732,0.251,0.333,0.386,0.719
1985,120,Montreal Expos,6053,5429,118,492,880,633,0.247,0.31,0.375,0.685
1985,134,Pittsburgh Pirates,6099,5436,80,514,842,568,0.247,0.311,0.347,0.658
1985,144,Atlanta Braves,6208,5526,126,553,849,632,0.246,0.315,0.363,0.678
1985,143,Philadelphia Phillies,6122,5477,141,527,1095,667,0.245,0.312,0.383,0.695
1985,137,San Francisco Giants,6063,5419,115,488,962,556,0.233,0.3,0.348,0.648
1986,114,Cleveland Indians,6288,5702,157,456,944,831,0.284,0.337,0.43,0.767
1986,147,New York Yankees,6325,5570,188,645,911,797,0.271,0.347,0.43,0.777
1986,111,Boston Red Sox,6255,5498,144,595,707,794,0.271,0.346,0.415,0.761
1986,141,Toronto Blue Jays,6318,5716,181,496,848,809,0.269,0.329,0.427,0.756
1986,140,Texas Rangers,6148,5529,184,511,1088,771,0.267,0.331,0.428,0.759
1986,121,New York Mets,6349,5558,148,631,968,783,0.263,0.339,0.401,0.74
1986,116,Detroit Tigers,6269,5512,198,613,885,798,0.263,0.338,0.424,0.762
1986,135,San Diego Padres,6118,5515,136,484,917,656,0.261,0.321,0.388,0.709
1986,142,Minnesota Twins,6151,5531,196,501,977,741,0.261,0.325,0.428,0.753
1986,110,Baltimore Orioles,6203,5524,169,563,862,708,0.258,0.327,0.395,0.722
1986,112,Chicago Cubs,6127,5499,155,508,966,680,0.256,0.318,0.398,0.716
1986,108,California Angels,6297,5433,167,671,860,786,0.255,0.338,0.404,0.742
1986,117,Houston Astros,6095,5441,125,536,916,654,0.255,0.322,0.381,0.703
1986,158,Milwaukee Brewers,6126,5461,127,530,986,667,0.255,0.321,0.385,0.706
1986,120,Montreal Expos,6174,5508,110,537,1016,637,0.254,0.322,0.379,0.701
1986,113,Cincinnati Reds,6246,5536,144,586,920,732,0.254,0.325,0.387,0.712
1986,137,San Francisco Giants,6212,5501,114,536,1087,698,0.253,0.322,0.375,0.697
1986,136,Seattle Mariners,6187,5498,158,572,1148,718,0.253,0.326,0.399,0.725
1986,143,Philadelphia Phillies,6229,5483,154,589,1154,739,0.253,0.327,0.4,0.727
1986,118,Kansas City Royals,6128,5561,137,474,919,654,0.252,0.313,0.39,0.703
1986,133,Oakland Athletics,6127,5435,163,553,983,731,0.252,0.322,0.39,0.712
1986,119,Los Angeles Dodgers,6101,5471,130,478,966,638,0.251,0.313,0.37,0.683
1986,144,Atlanta Braves,6069,5384,138,538,904,615,0.25,0.319,0.381,0.7
1986,134,Pittsburgh Pirates,6164,5456,111,569,929,663,0.25,0.321,0.374,0.695
1986,145,Chicago White Sox,6030,5406,121,487,940,644,0.247,0.31,0.363,0.673
1986,138,St. Louis Cardinals,6122,5378,58,568,905,601,0.236,0.309,0.327,0.636
1987,111,Boston Red Sox,6359,5586,174,606,825,842,0.278,0.352,0.43,0.782
1987,158,Milwaukee Brewers,6370,5625,163,598,1040,862,0.276,0.346,0.428,0.774
1987,136,Seattle Mariners,6145,5508,161,500,863,760,0.272,0.335,0.428,0.763
1987,116,Detroit Tigers,6444,5649,225,653,913,896,0.272,0.349,0.451,0.8
1987,141,Toronto Blue Jays,6295,5635,215,555,970,845,0.269,0.336,0.446,0.782
