season,mets_payroll,royals_payroll,world_series_winner
1985,10834762,9321179,KCR
1986,15393714,13043698,NYM
1987,13846714,11828056,
1988,15269314,14556562,
1989,19885071,18683568,
1990,21722834,23361084,
1991,32590001,26319834,
1992,44602002,33893834,
1993,39043667,41346167,
1994,30956583,40541334,
1995,27674992,29532834,
1996,24479500,20281250,
1997,39800400,34655000,
1998,52077999,36862500,
1999,65092092,26225000,
2000,79509776,23433000,
2001,93174428,35422500,
2002,94633593,47257000,
2003,116876429,40518000,
2004,96660970,47609000,
2005,101305821,36881000,
2006,101084963,47294000,
2007,115231663,67116500,
2008,137793376,58245500,
2009,149373987,70519333,
2010,134422942,71405210,
2011,118847309,35712000,
2012,93353983,60916225,
2013,49448346,80091725,
2014,85556990,74594075,
2015,96766683,112107025,KCR
2016,133889129,131487125,
