season,team_id,team,w,l
1901,145,White Sox,83,53
1901,111,Americans,79,57
1901,116,Tigers,74,61
1901,133,Athletics,74,62
1901,298,Orioles,68,65
1901,142,Senators,61,72
1901,114,Blues,54,82
1901,110,Brewers,48,89
1901,134,Pirates,90,49
1901,143,Phillies,83,57
1901,119,Superbas,79,57
1901,138,Cardinals,76,64
1901,144,Beaneaters,69,69
1901,112,Orphans,53,86
1901,137,Giants,52,85
1901,113,Reds,52,87
1902,133,Athletics,83,53
1902,110,Browns,78,58
1902,111,Americans,77,60
1902,145,White Sox,74,60
1902,114,Bronchos,69,67
1902,142,Senators,61,75
1902,116,Tigers,52,83
1902,298,Orioles,50,88
1902,134,Pirates,103,36
1902,119,Superbas,75,63
1902,144,Beaneaters,73,64
1902,113,Reds,70,70
1902,112,Orphans,68,69
1902,138,Cardinals,56,78
1902,143,Phillies,56,81
1902,137,Giants,48,90
1903,111,Americans,91,47
1903,133,Athletics,75,60
1903,114,Naps,77,63
1903,147,Highlanders,72,62
1903,116,Tigers,65,71
1903,110,Browns,65,74
1903,145,White Sox,60,77
1903,142,Senators,43,94
1903,134,Pirates,91,49
1903,137,Giants,84,55
1903,112,Cubs,82,56
1903,113,Reds,74,65
1903,119,Superbas,70,66
1903,144,Beaneaters,58,80
1903,143,Phillies,49,86
1903,138,Cardinals,43,94
1904,111,Americans,95,59
1904,147,Highlanders,92,59
1904,145,White Sox,89,65
1904,114,Naps,86,65
1904,133,Athletics,81,70
1904,110,Browns,65,87
1904,116,Tigers,62,90
1904,142,Senators,38,113
1904,137,Giants,106,47
1904,112,Cubs,93,60
1904,113,Reds,88,65
1904,134,Pirates,87,66
1904,138,Cardinals,75,79
1904,119,Superbas,56,97
1904,144,Beaneaters,55,98
1904,143,Phillies,52,100
1905,133,Athletics,92,56
1905,145,White Sox,92,60
1905,116,Tigers,79,74
1905,111,Americans,78,74
1905,114,Naps,76,78
1905,147,Highlanders,71,78
1905,142,Senators,64,87
1905,110,Browns,54,99
1905,137,Giants,105,48
1905,134,Pirates,96,57
1905,112,Cubs,92,61
1905,143,Phillies,83,69
1905,113,Reds,79,74
1905,138,Cardinals,58,96
1905,144,Beaneaters,51,103
1905,119,Superbas,48,104
1906,145,White Sox,93,58
1906,147,Highlanders,90,61
1906,114,Naps,89,64
1906,133,Athletics,78,67
1906,110,Browns,76,73
1906,116,Tigers,71,78
1906,142,Senators,55,95
1906,111,Americans,49,105
1906,112,Cubs,116,36
1906,137,Giants,96,56
1906,134,Pirates,93,60
1906,143,Phillies,71,82
1906,119,Superbas,66,86
1906,113,Reds,64,87
1906,138,Cardinals,52,98
1906,144,Beaneaters,49,102
1907,116,Tigers,92,58
1907,133,Athletics,88,57
1907,145,White Sox,87,64
1907,114,Naps,85,67
1907,147,Highlanders,70,78
1907,110,Browns,69,83
1907,111,Red Sox,59,90
1907,142,Senators,49,102
1907,112,Cubs,107,45
1907,134,Pirates,91,63
1907,143,Phillies,83,64
1907,137,Giants,82,71
1907,119,Superbas,65,83
1907,113,Reds,66,87
1907,144,Doves,58,90
1907,138,Cardinals,52,101
1908,116,Tigers,90,63
1908,114,Naps,90,64
1908,145,White Sox,88,64
1908,110,Browns,83,69
1908,111,Red Sox,75,79
1908,133,Athletics,68,85
1908,142,Senators,67,85
1908,147,Highlanders,51,103
1908,112,Cubs,99,55
1908,137,Giants,98,56
1908,134,Pirates,98,56
1908,143,Phillies,83,71
1908,113,Reds,73,81
1908,144,Doves,63,91
1908,119,Superbas,53,101
1908,138,Cardinals,49,105
1909,116,Tigers,98,54
1909,133,Athletics,95,58
1909,111,Red Sox,88,63
1909,145,White Sox,78,74
1909,147,Highlanders,74,77
1909,114,Naps,71,82
1909,110,Browns,61,89
1909,142,Senators,42,110
1909,134,Pirates,110,42
1909,112,Cubs,104,49
1909,137,Giants,92,61
1909,113,Reds,77,76
1909,143,Phillies,74,79
1909,119,Superbas,55,98
1909,138,Cardinals,54,98
1909,144,Doves,45,108
1910,133,Athletics,102,48
1910,147,Highlanders,88,63
1910,116,Tigers,86,68
1910,111,Red Sox,81,72
1910,114,Naps,71,81
1910,145,White Sox,68,85
1910,142,Senators,66,85
1910,110,Browns,47,107
1910,112,Cubs,104,50
1910,137,Giants,91,63
1910,134,Pirates,86,67
1910,143,Phillies,78,75
1910,113,Reds,75,79
1910,119,Superbas,64,90
1910,138,Cardinals,63,90
1910,144,Doves,53,100
1911,133,Athletics,101,50
1911,116,Tigers,89,65
1911,114,Naps,80,73
1911,145,White Sox,77,74
1911,111,Red Sox,78,75
1911,147,Highlanders,76,76
1911,142,Senators,64,90
1911,110,Browns,45,107
1911,137,Giants,99,54
1911,112,Cubs,92,62
1911,134,Pirates,85,69
1911,143,Phillies,79,73
1911,138,Cardinals,75,74
1911,113,Reds,70,83
1911,119,Dodgers,64,86
1911,144,Rustlers,44,107
1912,111,Red Sox,105,47
1912,142,Senators,91,61
1912,133,Athletics,90,62
1912,145,White Sox,78,76
1912,114,Naps,75,78
1912,116,Tigers,69,84
1912,110,Browns,53,101
1912,147,Highlanders,50,102
1912,137,Giants,103,48
1912,134,Pirates,93,58
1912,112,Cubs,91,59
1912,113,Reds,75,78
1912,143,Phillies,73,79
1912,138,Cardinals,63,90
1912,119,Dodgers,58,95
1912,144,Braves,52,101
1913,133,Athletics,96,57
1913,142,Senators,90,64
1913,114,Naps,86,66
1913,111,Red Sox,79,71
1913,145,White Sox,78,74
1913,116,Tigers,66,87
1913,147,Yankees,57,94
1913,110,Browns,57,96
1913,137,Giants,101,51
1913,143,Phillies,88,63
1913,112,Cubs,88,65
1913,134,Pirates,78,71
1913,144,Braves,69,82
1913,119,Superbas,65,84
1913,113,Reds,64,89
1913,138,Cardinals,51,99
1914,133,Athletics,99,53
1914,111,Red Sox,91,62
1914,142,Senators,81,73
1914,116,Tigers,80,73
1914,110,Browns,71,82
1914,145,White Sox,70,84
1914,147,Yankees,70,84
1914,114,Naps,51,102
1914,144,Braves,94,59
1914,137,Giants,84,70
1914,138,Cardinals,81,72
1914,112,Cubs,78,76
1914,119,Robins,75,79
1914,143,Phillies,74,80
1914,134,Pirates,69,85
1914,113,Reds,60,94
1915,111,Red Sox,101,50
1915,116,Tigers,100,54
1915,145,White Sox,93,61
1915,142,Senators,85,68
1915,147,Yankees,69,83
1915,110,Browns,63,91
1915,114,Indians,57,95
1915,133,Athletics,43,109
1915,143,Phillies,90,62
1915,144,Braves,83,69
1915,119,Robins,80,72
1915,112,Cubs,73,80
1915,134,Pirates,73,81
1915,138,Cardinals,72,81
1915,113,Reds,71,83
1915,137,Giants,69,83
1916,111,Red Sox,91,63
1916,145,White Sox,89,65
1916,116,Tigers,87,67
1916,147,Yankees,80,74
1916,110,Browns,79,75
1916,114,Indians,77,77
1916,142,Senators,76,77
1916,133,Athletics,36,117
1916,119,Robins,94,60
1916,143,Phillies,91,62
1916,144,Braves,89,63
1916,137,Giants,86,66
1916,112,Cubs,67,86
1916,134,Pirates,65,89
1916,138,Cardinals,60,93
1916,113,Reds,60,93
1917,145,White Sox,100,54
1917,111,Red Sox,90,62
1917,114,Indians,88,66
1917,116,Tigers,78,75
1917,142,Senators,74,79
1917,147,Yankees,71,82
1917,110,Browns,57,97
1917,133,Athletics,55,98
1917,137,Giants,98,56
1917,143,Phillies,87,65
1917,138,Cardinals,82,70
1917,113,Reds,78,76
1917,112,Cubs,74,80
1917,144,Braves,72,81
1917,119,Robins,70,81
1917,134,Pirates,51,103
1918,111,Red Sox,75,51
1918,114,Indians,73,54
1918,142,Senators,72,56
1918,147,Yankees,60,63
1918,110,Browns,58,64
1918,145,White Sox,57,67
1918,116,Tigers,55,71
1918,133,Athletics,52,76
1918,112,Cubs,84,45
1918,137,Giants,71,53
1918,113,Reds,68,60
1918,134,Pirates,65,60
1918,119,Robins,57,69
1918,143,Phillies,55,68
1918,144,Braves,53,71
1918,138,Cardinals,51,78
1919,145,White Sox,88,52
1919,114,Indians,84,55
1919,147,Yankees,80,59
1919,116,Tigers,80,60
1919,110,Browns,67,72
1919,111,Red Sox,66,71
1919,142,Senators,56,84
1919,133,Athletics,36,104
1919,113,Reds,96,44
1919,137,Giants,87,53
1919,112,Cubs,75,65
1919,134,Pirates,71,68
1919,119,Robins,69,71
1919,144,Braves,57,82
1919,138,Cardinals,54,83
1919,143,Phillies,47,90
1920,114,Indians,98,56
1920,145,White Sox,96,58
1920,147,Yankees,95,59
1920,110,Browns,76,77
