season,week,game_id,team,opp,third_att,third_conv,fourth_att,fourth_conv,first_downs,penalties,penalty_yards,sacks_taken,sacks_made,explosive,rz_trips,rz_td,pass_att,completions,rush_yards,pass_yards
2016,1,2016_01_BUF_BAL,BAL,BUF,15,6,1,0,18,6,35,4,2,3,2,1,33,22,83,225
2016,1,2016_01_BUF_BAL,BUF,BAL,13,3,2,2,10,8,89,2,4,1,1,1,22,15,65,95
2016,1,2016_01_CAR_DEN,CAR,DEN,15,9,0,0,21,8,85,3,2,1,3,2,33,18,157,176
2016,1,2016_01_CAR_DEN,DEN,CAR,10,5,1,1,21,4,22,2,3,5,4,3,26,18,148,159
2016,1,2016_01_CHI_HOU,CHI,HOU,13,4,2,0,14,4,30,5,2,2,2,2,29,16,73,185
2016,1,2016_01_CHI_HOU,HOU,CHI,20,12,0,0,17,6,69,2,5,4,5,2,35,22,129,215
2016,1,2016_01_CIN_NYJ,CIN,NYJ,11,3,0,0,18,5,44,7,1,6,4,2,30,23,57,324
2016,1,2016_01_CIN_NYJ,NYJ,CIN,12,4,0,0,22,7,95,1,7,3,5,2,35,19,152,188
2016,1,2016_01_CLE_PHI,CLE,PHI,10,2,2,0,14,4,15,3,2,4,2,1,26,12,120,168
2016,1,2016_01_CLE_PHI,PHI,CLE,15,5,1,1,23,7,46,2,3,3,5,3,37,22,133,270
2016,1,2016_01_DET_IND,DET,IND,9,5,0,0,27,8,70,1,2,4,5,5,39,31,116,332
2016,1,2016_01_DET_IND,IND,DET,16,9,0,0,24,5,45,2,1,4,4,4,48,31,82,370
2016,1,2016_01_GB_JAX,GB,JAX,14,7,1,1,18,5,24,1,3,4,5,3,34,20,95,199
2016,1,2016_01_GB_JAX,JAX,GB,15,4,4,3,20,9,79,3,1,6,4,2,39,24,48,300
2016,1,2016_01_LA_SF,LA,SF,15,3,2,1,10,9,87,2,0,2,0,0,35,17,65,120
2016,1,2016_01_LA_SF,SF,LA,17,8,2,1,25,2,10,0,2,1,4,4,35,22,150,170
2016,1,2016_01_MIA_SEA,MIA,SEA,14,3,1,0,11,4,40,5,3,3,3,1,29,16,64,150
2016,1,2016_01_MIA_SEA,SEA,MIA,16,5,3,2,21,8,69,3,5,2,3,1,43,27,112,240
2016,1,2016_01_MIN_TEN,MIN,TEN,14,6,0,0,15,3,39,0,2,3,5,0,33,18,65,236
2016,1,2016_01_MIN_TEN,TEN,MIN,14,8,0,0,19,2,10,2,0,2,3,2,42,25,64,252
2016,1,2016_01_NE_ARI,ARI,NE,12,6,0,0,21,6,58,3,2,4,3,3,37,24,92,252
2016,1,2016_01_NE_ARI,NE,ARI,16,10,0,0,19,8,69,2,3,4,3,2,33,24,106,257
2016,1,2016_01_NYG_DAL,DAL,NYG,17,10,0,0,24,6,50,0,2,1,3,1,45,25,101,227
2016,1,2016_01_NYG_DAL,NYG,DAL,10,5,0,0,18,4,40,2,0,3,3,3,28,19,113,203
2016,1,2016_01_OAK_NO,LV,NO,11,4,0,0,25,14,141,0,1,7,5,4,41,24,167,321
2016,1,2016_01_OAK_NO,NO,LV,11,4,1,1,27,7,53,1,0,6,7,4,42,28,88,419
2016,1,2016_01_PIT_WAS,PIT,WAS,14,9,2,2,23,4,81,1,0,5,5,5,37,27,147,290
2016,1,2016_01_PIT_WAS,WAS,PIT,10,3,2,0,18,9,55,0,1,3,5,1,43,30,55,329
2016,1,2016_01_SD_KC,KC,LAC,14,5,2,2,25,6,46,3,1,5,5,4,48,34,83,330
2016,1,2016_01_SD_KC,LAC,KC,15,7,0,0,25,5,30,1,3,4,5,3,36,25,155,233
2016,1,2016_01_TB_ATL,ATL,TB,13,3,2,1,19,7,74,3,0,4,5,2,40,27,52,324
2016,1,2016_01_TB_ATL,TB,ATL,9,3,0,0,20,6,48,0,3,5,5,4,32,23,90,281
2016,2,2016_02_ATL_OAK,ATL,LV,10,5,0,0,27,7,72,1,1,7,7,4,34,26,141,389
2016,2,2016_02_ATL_OAK,LV,ATL,12,5,2,1,29,9,58,1,1,3,4,4,45,34,155,299
2016,2,2016_02_BAL_CLE,BAL,CLE,16,10,1,0,21,4,29,0,3,5,2,2,45,25,80,302
2016,2,2016_02_BAL_CLE,CLE,BAL,15,8,1,1,17,8,59,3,0,4,4,3,33,20,145,242
