season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,1,2016_01_BUF_BAL,BAL,BUF,1,65,308.0,1973,1,13,7,1
2016,1,2016_01_BUF_BAL,BUF,BAL,0,48,160.0,1627,0,7,13,0
2016,1,2016_01_CAR_DEN,CAR,DEN,0,68,333.0,1939,1,20,21,0
2016,1,2016_01_CAR_DEN,DEN,CAR,1,57,307.0,1661,3,21,20,1
2016,1,2016_01_CHI_HOU,CHI,HOU,0,54,258.0,1421,1,14,23,0
2016,1,2016_01_CHI_HOU,HOU,CHI,1,72,344.0,2179,1,23,14,1
2016,1,2016_01_CIN_NYJ,CIN,NYJ,0,56,381.0,1507,1,23,22,1
2016,1,2016_01_CIN_NYJ,NYJ,CIN,1,66,340.0,2093,1,22,23,0
2016,1,2016_01_CLE_PHI,CLE,PHI,0,50,288.0,1240,1,10,29,0
2016,1,2016_01_CLE_PHI,PHI,CLE,1,73,403.0,2360,0,29,10,1
2016,1,2016_01_DET_IND,DET,IND,0,64,448.0,1836,0,39,35,1
2016,1,2016_01_DET_IND,IND,DET,1,69,452.0,1764,0,35,39,0
2016,1,2016_01_GB_JAX,GB,JAX,0,60,294.0,1717,0,27,23,1
2016,1,2016_01_GB_JAX,JAX,GB,1,68,348.0,1883,1,23,27,0
2016,1,2016_01_LA_SF,LA,SF,0,60,185.0,1670,2,0,28,0
2016,1,2016_01_LA_SF,SF,LA,1,77,320.0,1930,1,28,0,1
2016,1,2016_01_MIA_SEA,MIA,SEA,0,54,214.0,1528,0,10,12,0
2016,1,2016_01_MIA_SEA,SEA,MIA,1,78,352.0,2072,2,12,10,1
2016,1,2016_01_MIN_TEN,MIN,TEN,0,61,301.0,1775,0,25,16,1
2016,1,2016_01_MIN_TEN,TEN,MIN,1,66,316.0,1825,3,16,25,0
2016,1,2016_01_NE_ARI,ARI,NE,1,59,344.0,1561,0,21,23,0
2016,1,2016_01_NE_ARI,NE,ARI,0,66,363.0,2039,2,23,21,1
2016,1,2016_01_NYG_DAL,DAL,NYG,1,75,328.0,2203,0,19,20,0
2016,1,2016_01_NYG_DAL,NYG,DAL,0,54,316.0,1397,1,20,19,1
2016,1,2016_01_OAK_NO,LV,NO,0,66,488.0,1825,0,35,34,1
2016,1,2016_01_OAK_NO,NO,LV,1,65,507.0,1775,1,34,35,0
2016,1,2016_01_PIT_WAS,PIT,WAS,0,68,437.0,1998,1,38,16,1
2016,1,2016_01_PIT_WAS,WAS,PIT,1,55,384.0,1602,2,16,38,0
2016,1,2016_01_SD_KC,KC,LAC,1,70,413.0,1866,1,33,27,1
2016,1,2016_01_SD_KC,LAC,KC,0,69,388.0,2041,0,27,33,0
2016,1,2016_01_TB_ATL,ATL,TB,1,65,376.0,1943,0,24,31,0
2016,1,2016_01_TB_ATL,TB,ATL,0,60,371.0,1657,1,31,24,1
2016,2,2016_02_ATL_OAK,ATL,LV,0,65,530.0,1635,1,35,28,1
2016,2,2016_02_ATL_OAK,LV,ATL,1,71,454.0,1965,0,28,35,0
2016,2,2016_02_BAL_CLE,BAL,CLE,0,71,382.0,1859,2,25,20,1
2016,2,2016_02_BAL_CLE,CLE,BAL,1,59,387.0,1741,2,20,25,0
2016,2,2016_02_CIN_PIT,CIN,PIT,0,73,412.0,1625,2,16,24,0
2016,2,2016_02_CIN_PIT,PIT,CIN,1,74,374.0,1975,2,24,16,1
2016,2,2016_02_DAL_WAS,DAL,WAS,0,64,380.0,2039,1,27,23,1
2016,2,2016_02_DAL_WAS,WAS,DAL,1,65,432.0,1629,1,23,27,0
2016,2,2016_02_GB_MIN,GB,MIN,0,64,263.0,1782,3,14,17,0
2016,2,2016_02_GB_MIN,MIN,GB,1,57,284.0,1818,0,17,14,1
2016,2,2016_02_IND_DEN,DEN,IND,1,66,402.0,1841,1,34,20,1
2016,2,2016_02_IND_DEN,IND,DEN,0,66,253.0,1759,2,20,34,0
2016,2,2016_02_JAX_SD,JAX,LAC,0,63,388.0,1508,3,14,38,0
2016,2,2016_02_JAX_SD,LAC,JAX,1,63,357.0,2092,1,38,14,1
