season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0029892,K.Juszczyk,target,1,3.0,-0.3371,0
2015,00-0026373,J.Forsett,rush,1,2.0,-0.2625,0
2015,00-0020337,S.Smith,target,1,10.0,1.6612,0
2015,00-0026373,J.Forsett,rush,1,0.0,-0.5189,0
2015,00-0020337,S.Smith,target,1,3.0,-0.4496,0
2015,00-0028497,K.Aiken,target,0,0.0,-1.4696,0
2015,00-0029854,C.Anderson,rush,1,3.0,-0.2033,0
2015,00-0027874,D.Thomas,target,1,8.0,1.1409,0
2015,00-0029854,C.Anderson,rush,1,5.0,0.02,0
2015,00-0029854,C.Anderson,target,0,0.0,-0.7777,0
2015,00-0027685,E.Sanders,target,1,6.0,1.5056,0
2015,00-0029854,C.Anderson,rush,1,1.0,-0.3405,0
2015,00-0027685,E.Sanders,target,0,0.0,-0.7785,0
2015,00-0027685,E.Sanders,target,1,13.0,1.7187,0
2015,00-0028142,V.Green,target,0,0.0,-0.4285,0
2015,00-0029683,R.Hillman,rush,1,7.0,0.0119,0
2015,00-0027685,E.Sanders,target,1,6.0,1.1585,0
2015,00-0027874,D.Thomas,target,0,0.0,-0.3603,0
2015,00-0029854,C.Anderson,rush,1,-1.0,-1.0358,0
2015,00-0027685,E.Sanders,target,0,0.0,-1.6431,0
2015,00-0026373,J.Forsett,rush,1,3.0,-0.3944,0
2015,00-0026373,J.Forsett,target,0,0.0,-0.7086,0
2015,00-0029854,C.Anderson,rush,1,2.0,-0.4151,0
2015,00-0024313,O.Daniels,target,1,9.0,0.9971,0
2015,00-0027874,D.Thomas,target,0,0.0,-0.4788,0
2015,00-0027874,D.Thomas,target,1,4.0,-0.4274,0
2015,00-0029854,C.Anderson,target,0,0.0,-2.2822,0
2015,00-0026373,J.Forsett,rush,1,4.0,-0.1983,0
2015,00-0026373,J.Forsett,rush,1,-1.0,-0.899,0
2015,00-0024313,O.Daniels,target,1,-4.0,-1.246,0
2015,00-0026237,A.Caldwell,target,1,1.0,-0.6645,0
2015,00-0027874,D.Thomas,target,1,11.0,1.8018,0
2015,00-0029683,R.Hillman,rush,1,2.0,-0.2782,0
2015,00-0029854,C.Anderson,target,0,0.0,-0.8796,0
2015,00-0026373,J.Forsett,target,1,7.0,0.3945,0
2015,00-0026373,J.Forsett,rush,1,6.0,0.5557,0
2015,00-0029892,K.Juszczyk,target,1,4.0,-0.0809,0
2015,00-0031577,J.Allen,rush,1,8.0,0.8611,0
2015,00-0031577,J.Allen,rush,1,3.0,-0.1376,0
2015,00-0031577,J.Allen,rush,1,4.0,0.0188,0
2015,00-0026373,J.Forsett,rush,1,-1.0,-2.0764,0
2015,00-0029854,C.Anderson,rush,1,5.0,0.0351,0
2015,00-0027685,E.Sanders,target,1,18.0,2.3527,0
2015,00-0029854,C.Anderson,rush,1,1.0,-0.4214,0
2015,00-0027685,E.Sanders,target,1,4.0,-0.2638,0
2015,00-0026373,J.Forsett,rush,1,0.0,-0.4611,0
2015,00-0026373,J.Forsett,target,1,1.0,-0.0964,0
2015,00-0028497,K.Aiken,target,1,-1.0,-0.7383,0
2015,00-0026739,J.Norwood,target,1,10.0,0.768,0
2015,00-0026739,J.Norwood,target,0,0.0,-0.2665,0
2015,00-0026739,J.Norwood,target,1,15.0,1.2681,0
2015,00-0027685,E.Sanders,target,1,5.0,-0.1918,0
2015,00-0027685,E.Sanders,target,0,0.0,-0.3368,0
2015,00-0026739,J.Norwood,target,0,0.0,-0.1982,0
2015,00-0028497,K.Aiken,target,0,0.0,-0.0681,0
2015,00-0027685,E.Sanders,target,0,0.0,-0.6144,0
2015,00-0029854,C.Anderson,rush,1,0.0,-0.6865,0
2015,00-0026739,J.Norwood,target,0,0.0,-6.6814,0
2015,00-0029683,R.Hillman,rush,1,0.0,-0.5057,0
2015,00-0027874,D.Thomas,target,0,0.0,-0.7669,0
2015,00-0027874,D.Thomas,target,1,7.0,-0.6478,0
2015,00-0029892,K.Juszczyk,target,1,9.0,0.8808,0
2015,00-0026373,J.Forsett,rush,1,1.0,-0.0908,0
2015,00-0026373,J.Forsett,rush,1,-1.0,-0.7852,0
2015,00-0030400,M.Brown,target,1,22.0,2.227,0
2015,00-0031577,J.Allen,rush,1,0.0,-0.3964,0
2015,00-0031577,J.Allen,target,1,4.0,-0.2798,0
2015,00-0031558,M.Williams,target,0,0.0,-1.0869,0
2015,00-0029683,R.Hillman,rush,1,1.0,-0.5515,0
2015,00-0029683,R.Hillman,rush,1,1.0,-0.7,0
2015,00-0027874,D.Thomas,target,0,0.0,-1.3688,0
2015,00-0026373,J.Forsett,target,1,7.0,0.2276,0
2015,00-0026373,J.Forsett,rush,1,1.0,-0.4624,0
2015,00-0020337,S.Smith,target,0,0.0,-1.7043,0
2015,00-0029854,C.Anderson,target,1,3.0,-0.2251,0
