season,team,pick,pfr_player_name,position,hof,probowls,seasons_started,w_av,dr_av,games,active,bust_a,bust_b,bust_c,triple_bust,clean_hit
1980,DET,1,Billy Sims,RB,False,3,5,58,58,60,0,0,0,0,0,1
1980,NYJ,2,Lam Jones,WR,False,0,3,21,21,61,0,1,1,1,1,0
1980,CIN,3,Anthony Munoz,T,True,11,12,138,138,185,0,0,0,0,0,1
1980,GB,4,Bruce Clark,DE,False,1,6,46,0,113,0,0,0,0,0,1
1980,IND,5,Curtis Dickey,RB,False,0,5,37,34,85,0,1,0,0,0,0
1980,LAR,6,Curtis Greer,DE,False,0,6,38,38,94,0,1,0,0,0,0
1980,ATL,7,Junior Miller,TE,False,2,3,14,13,71,0,0,1,1,0,0
1980,NYG,8,Mark Haynes,DB,False,3,7,66,55,127,0,0,0,0,0,1
1980,MIN,9,Doug Martin,DE,False,0,7,48,48,126,0,1,0,0,0,0
1980,SEA,10,Jacob Green,DE,False,2,12,80,80,180,0,0,0,0,0,1
1980,KC,11,Brad Budde,G,False,0,6,36,36,92,0,1,0,0,0,0
1980,NO,12,Stan Brock,T,False,0,16,78,61,234,0,1,0,0,0,0
1980,SF,13,Earl Cooper,RB,False,0,4,25,25,93,0,1,0,0,0,0
1980,NE,14,Roland James,DB,False,0,8,50,50,145,0,1,0,0,0,0
1980,LV,15,Marc Wilson,QB,False,0,5,36,33,126,0,1,0,0,0,0
1980,BUF,16,Jim Ritcher,G,False,2,11,70,70,218,0,0,0,0,0,1
1980,LAR,17,Johnnie Johnson,DB,False,0,7,51,50,124,0,1,0,0,0,0
1980,WAS,18,Art Monk,WR,True,3,14,90,88,224,0,0,0,0,0,1
1980,CHI,19,Otis Wilson,LB,False,1,7,58,58,110,0,0,0,0,0,1
1980,SF,20,Jim Stuckey,DE,False,0,3,25,24,93,0,1,0,1,0,0
1980,MIA,21,Don McNeal,DB,False,0,4,30,30,110,0,1,0,0,0,0
1980,TB,22,Ray Snell,G,False,0,3,19,16,65,0,1,0,1,0,0
1980,PHI,23,Roynell Young,DB,False,1,8,54,54,117,0,0,0,0,0,1
1980,IND,24,Derrick Hatchett,DB,False,0,4,16,16,49,0,1,1,0,0,0
1980,NE,25,Vagas Ferguson,RB,False,0,1,11,11,33,0,1,1,1,1,0
1980,GB,26,George Cumby,LB,False,0,5,33,30,92,0,1,0,0,0,0
1980,CLE,27,Charles White,RB,False,1,3,30,13,108,0,0,0,1,0,0
1980,PIT,28,Mark Malone,QB,False,0,5,27,25,73,0,1,0,0,0,0
1981,NO,1,George Rogers,RB,False,2,6,46,28,92,0,0,0,0,0,1
1981,NYG,2,Lawrence Taylor,LB,True,10,13,146,146,184,0,0,0,0,0,1
1981,NYJ,3,Freeman McNeil,RB,False,3,8,75,75,144,0,0,0,0,0,1
1981,SEA,4,Kenny Easley,DB,True,5,7,65,65,89,0,0,0,0,0,1
1981,LAR,5,E.J. Junior,LB,False,2,9,59,54,170,0,0,0,0,0,1
