team_gave_away,player,to_team,year,date_iso,got_back,player_career_bwar_approx,hall_of_famer,notable_alternates,verified,source
Baltimore Orioles,TBD,,,,,,,,no,needs research + triple-verify
Boston Red Sox,Babe Ruth,New York Yankees,1920,1920-01-05,"$100,000 plus a $300,000 loan secured by Fenway Park",183,yes,"Jeff Bagwell to Astros, 1990-08-30, for Larry Andersen (1 month)",yes,SABR; Baseball HOF
New York Yankees,TBD,,,,,,,,no,needs research + triple-verify
Tampa Bay Rays,TBD,,,,,,,,no,needs research + triple-verify
Toronto Blue Jays,TBD,,,,,,,,no,needs research + triple-verify
Chicago White Sox,TBD,,,,,,,,no,needs research + triple-verify
Cleveland Guardians,TBD,,,,,,,,no,needs research + triple-verify
Detroit Tigers,John Smoltz,Atlanta Braves,1987,1987-08-12,Doyle Alexander (rental who went 9-0 and won them the AL East),66,yes,,yes,Baseball HOF; BR Bullpen
Kansas City Royals,TBD,,,,,,,,no,needs research + triple-verify
Minnesota Twins,TBD,,,,,,,,no,needs research + triple-verify
Houston Astros,TBD,,,,,,,,no,needs research + triple-verify
Los Angeles Angels,TBD,,,,,,,,no,needs research + triple-verify
Athletics,TBD,,,,,,,,no,needs research + triple-verify
Seattle Mariners,TBD,,,,,,,,no,needs research + triple-verify
Texas Rangers,TBD,,,,,,,,no,needs research + triple-verify
Atlanta Braves,TBD,,,,,,,,no,needs research + triple-verify
Miami Marlins,TBD,,,,,,,,no,needs research + triple-verify
New York Mets,Nolan Ryan,California Angels,1971,1971-12-10,Jim Fregosi (lasted a season and a half),81,yes,"Pete Crow-Armstrong to Cubs, 2021-07-30, for Javier Baez + Trevor Williams",yes,MLB.com; Baseball HOF
Philadelphia Phillies,Ryne Sandberg,Chicago Cubs,1982,1982-01-27,Ivan DeJesus (Larry Bowa also went to Chicago),68,yes,,yes,Baseball HOF; The Good Phight
Washington Nationals,TBD,,,,,,,,no,needs research + triple-verify
Chicago Cubs,Lou Brock,St. Louis Cardinals,1964,1964-06-15,Ernie Broglio (arm already going),45,yes,,yes,Baseball HOF; 'Brock for Broglio'
Cincinnati Reds,Frank Robinson,Baltimore Orioles,1965,1965-12-09,"Milt Pappas, Jack Baldschun, Dick Simpson",107,yes,,yes,SABR; Baseball HOF
Milwaukee Brewers,TBD,,,,,,,,no,needs research + triple-verify
Pittsburgh Pirates,TBD,,,,,,,,no,needs research + triple-verify
St. Louis Cardinals,TBD,,,,,,,,no,needs research + triple-verify
Arizona Diamondbacks,TBD,,,,,,,,no,needs research + triple-verify
Colorado Rockies,TBD,,,,,,,,no,needs research + triple-verify
Los Angeles Dodgers,Pedro Martinez,Montreal Expos,1993,1993-11-19,Delino DeShields,84,yes,Also let Roberto Clemente go in the 1954 Rule 5 draft (VERIFY date/details),yes,This Day in Baseball; Baseball HOF
San Diego Padres,TBD,,,,,,,,no,needs research + triple-verify
San Francisco Giants,TBD,,,,,,,,no,needs research + triple-verify
