month,week,sport,event
January 2027,Jan 1,College Football,"CFP Quarterfinals played: Cotton Bowl, Peach Bowl, Rose Bowl"
January 2027,Jan 14-15,College Football,CFP Semifinals played: Orange Bowl and Sugar Bowl
January 2027,Jan 16-18,NFL,NFL Wild Card Weekend (2026 season playoffs begin)
January 2027,Jan 24-25,NFL,NFL Divisional Round
January 2027,Jan 25,College Football,"College Football Playoff National Championship - Allegiant Stadium, Las Vegas"
January 2027,Jan 31,NFL,NFL Conference Championship Games (AFC/NFC)
February 2027,Feb 14,NFL,"Super Bowl LXI - SoFi Stadium, Inglewood, CA"
February 2027,Feb 20,NHL,"NHL Stadium Series: Stars vs. Golden Knights - AT&T Stadium, Arlington, TX"
February 2027,Feb 21,NBA,"NBA All-Star Game - Mortgage Matchup Center, Phoenix, AZ"
March 2027,Mar 14,College Basketball,Selection Sunday sets men's and women's NCAA Tournament fields
March 2027,Mar 16-17,College Basketball,March Madness Opening Round (first year of expanded 76-team field)
March 2027,Mar 18-21,College Basketball,March Madness first and second rounds
April 2027,Apr 3,College Basketball,"NCAA Men's Final Four national semifinals - Ford Field, Detroit, MI"
April 2027,Apr 5,College Basketball,"NCAA Men's National Championship Game - Ford Field, Detroit, MI"
April 2027,Apr 8-11,Golf,The Masters Tournament - Augusta National Golf Club
April 2027,Apr 29-May 1,NFL,"NFL Draft - National Mall, Washington, D.C."
May 2027,May 1,Horse Racing,"Kentucky Derby - Churchill Downs, Louisville, KY"
May 2027,May 20-23,Golf,"PGA Championship - PGA Frisco (Fields Ranch East), Frisco, TX"
May 2027,May 23,Horse Racing,"Preakness Stakes - Pimlico Race Course, Baltimore, MD (moved to 3 weeks after the Derby)"
May 2027,May 30,Auto Racing,Indianapolis 500 - Indianapolis Motor Speedway
June 2027,Jun 5,Horse Racing,"Belmont Stakes - Belmont Park, Elmont, NY"
June 2027,Jun (TBD),NBA,NBA Finals conclude the 2026-27 season (exact dates not yet set)
June 2027,Jun (TBD),NHL,Stanley Cup Final concludes the 2026-27 season (exact dates not yet set)
June 2027,Jun 17-20,Golf,"U.S. Open Golf Championship - Pebble Beach Golf Links, CA"
July 2027,Jul 12,MLB,"MLB Home Run Derby - Wrigley Field, Chicago, IL"
July 2027,Jul 13,MLB,"MLB All-Star Game - Wrigley Field, Chicago, IL"
August 2027,Aug 30,Tennis,"US Open tennis begins - Flushing Meadows, NY"
September 2027,"Sep (TBD, ~9)",NFL,NFL 2027 regular season begins (exact date not yet announced)
September 2027,Sep 12,Tennis,US Open tennis concludes
September 2027,Sep 17-19,Golf,"Ryder Cup - Adare Manor, County Limerick, Ireland (Team USA vs. Team Europe)"
September 2027,Sep 26,MLB,MLB regular season ends
October 2027,Oct (TBD),MLB,World Series (exact dates not yet announced)
October 2027,Oct (TBD),WNBA,WNBA Finals (exact dates not yet announced)
November 2027,"Nov (TBD, ~early)",NFL,NFL trade deadline (exact date not yet announced)
December 2027,"Dec (TBD, ~2nd Sat)",College Football,Heisman Trophy presentation (exact date not yet announced)
December 2027,Dec (early),College Football,Conference championship games
December 2027,Dec (mid-late),College Football,Bowl season and CFP first round begin (2027 season)
