title,filename,source,kind,published,words,quarter,eligible,notes,review
The Night Paul Skenes Posted a 67.5 ERA — And Why the Math Will Hunt Him All Season,001-skenes-era.txt,published/001-skenes-era.html,issue,2026-03-27,1549,2026-Q1,yes,,
"Goodbye, Polar Bear: A 60.2% Chance Mets Fans Sleep Just Fine Tonight",002-alonso-orioles.txt,published/002-alonso-orioles.html,issue,2026-03-29,1170,2026-Q1,yes,,
The Misery Index: My Portfolio Is Down 14% — Which Teams Share My Pain?,003-misery-index.txt,published/003-misery-index.html,issue,2026-04-01,1140,2026-Q2,yes,,
"Half the Games Go to Extra Innings. The Other Half, the Bats Go Silent.",004-mets-500.txt,published/004-mets-500.html,issue,2026-04-02,816,2026-Q2,yes,,
"32 Picks, 10 57 Possibilities, and a 0% Chance Anyone Gets Them All Right",005-draft-combinatorics.txt,published/005-draft-combinatorics.html,issue,2026-04-03,727,2026-Q2,yes,,
The Jets Draft Like a Team Trying to Lose — and the Math Says They Might Be Worse Than Random,006-jets-draft.txt,published/006-jets-draft.html,issue,2026-04-04,917,2026-Q2,yes,,
The $765 Million Calf: What a Juan Soto Absence Actually Costs the Mets,010-soto-calf.txt,published/010-soto-calf.html,issue,2026-04-04,914,2026-Q2,yes,,
The $467 Million Infield Is Hitting .128 — And Mets Fans Already Booed,011-infield-hitting.txt,published/011-infield-hitting.html,issue,2026-04-05,856,2026-Q2,yes,,
The Mets Alumni All-Stars: -3.7 WAR and a First-Round Pick Who Became Someone Else’s MVP Candidate,007-mets-alumni.txt,published/007-mets-alumni.html,issue,2026-04-06,922,2026-Q2,yes,,
The A’s Are Moving to Vegas. The Raiders Already Did. The Data Says Neither Guarantees a Winner.,012-relocation-myth.txt,published/012-relocation-myth.html,issue,2026-04-07,996,2026-Q2,yes,,
"Three Franchises, Three Trajectories: The Rangers Are Falling, the Sabres Are Rising, and Vegas Is Running Out of Time",013-nhl-three-franchises.txt,published/013-nhl-three-franchises.html,issue,2026-04-08,922,2026-Q2,yes,,
