year,season_type,week,home_team,away_team,home_rank,away_rank,home_score,away_score,winner,loser,winner_rank,loser_rank,rank_delta,higher_rank_won,neutral_site
1995,regular,1,Michigan,Virginia,14,17,18,17,Michigan,Virginia,14,17,3,True,False
1995,regular,1,Ohio State,Boston College,12,22,38,6,Ohio State,Boston College,12,22,10,True,False
1995,regular,2,Wisconsin,Colorado,21,14,7,43,Colorado,Wisconsin,14,21,7,True,False
1995,regular,2,Illinois,Michigan,25,13,14,38,Michigan,Illinois,13,25,12,True,False
1995,regular,2,UCLA,Miami,15,12,31,8,UCLA,Miami,15,12,3,False,False
1995,regular,3,NC State,Virginia,23,16,24,29,Virginia,NC State,16,23,7,True,False
1995,regular,4,Florida,Tennessee,4,8,62,37,Florida,Tennessee,4,8,4,True,False
1995,regular,4,Ohio State,Washington,10,18,30,20,Ohio State,Washington,10,18,8,True,False
1995,regular,4,UCLA,Oregon,12,20,31,38,Oregon,UCLA,20,12,8,False,False
1995,regular,5,Notre Dame,Texas,21,13,55,27,Notre Dame,Texas,21,13,8,False,False
1995,regular,5,Colorado,Texas A&M,7,3,29,21,Colorado,Texas A&M,7,3,4,False,False
1995,regular,5,Arizona,USC,25,5,10,31,USC,Arizona,5,25,20,True,False
1995,regular,6,Oklahoma,Colorado,10,4,17,38,Colorado,Oklahoma,4,10,6,True,False
1995,regular,6,Ohio State,Notre Dame,7,15,45,26,Ohio State,Notre Dame,7,15,8,True,False
1995,regular,7,LSU,Florida,21,3,10,28,Florida,LSU,3,21,18,True,False
1995,regular,7,Colorado,Kansas,4,24,24,40,Kansas,Colorado,24,4,20,False,False
1995,regular,7,Michigan,Northwestern,7,25,13,19,Northwestern,Michigan,25,7,18,False,False
1995,regular,7,Washington,Notre Dame,15,23,21,29,Notre Dame,Washington,23,15,8,False,False
1995,regular,7,Penn State,Ohio State,12,5,25,28,Ohio State,Penn State,5,12,7,True,False
1995,regular,7,Arkansas,Tennessee,18,10,31,49,Tennessee,Arkansas,10,18,8,True,False
1995,regular,8,Alabama,Tennessee,11,6,14,41,Tennessee,Alabama,6,11,5,True,False
1995,regular,8,Stanford,Washington,16,24,28,38,Washington,Stanford,24,16,8,False,False
1995,regular,8,Texas,Oklahoma,18,13,24,24,Oklahoma,Texas,13,18,5,True,False
1995,regular,8,Auburn,Florida,7,3,38,49,Florida,Auburn,3,7,4,True,False
1995,regular,8,Wisconsin,Ohio State,21,4,16,27,Ohio State,Wisconsin,4,21,17,True,False
1995,regular,9,Oklahoma,Kansas,15,7,17,38,Kansas,Oklahoma,7,15,8,True,False
